date,ticker,action,shares,price,value,fee,regime,reason
2008-02-26,MDLZ,BUY,7483.880490127596,13.362051963806152,100000.0,150.0,normal,INITIAL_ALLOC
2008-02-29,GPC,BUY,4231.5028743840685,23.57608985900879,99762.29200513278,798.0983360410622,crisis,REBALANCE_TOP10
2008-02-29,GPC,BUY,846.3005748768137,23.57608985900879,19952.458401026557,159.61966720821246,crisis,PANIC_BUY_DD-16.4%
2008-10-03,PG,BUY,2330.451612330499,42.69255447387695,99492.9324081542,795.9434592652336,crisis,REBALANCE_TOP10
2008-10-03,GPC,BUY,1015.5606898521766,21.51068878173828,21845.409938377605,174.76327950702085,crisis,PANIC_BUY_DD-14.5%
2008-11-20,TEL,BUY,10351.633155948033,9.168231964111328,94906.17398111739,759.2493918489391,crisis,REBALANCE_TOP10
2008-11-20,GPC,BUY,1335.40488882085,21.08176040649414,28152.685911782104,225.22148729425683,crisis,PANIC_BUY_DD-15.6%
2008-11-20,PG,BUY,588.257647793786,35.893310546875,21114.514433836575,168.9161154706926,crisis,PANIC_BUY_DD-18.4%
2008-11-20,MDLZ,BUY,1315.3938006328115,10.701238632202148,14076.342955891052,112.61074364712842,crisis,PANIC_BUY_DD-28.3%
2008-11-20,TEL,BUY,1535.338875695153,9.168231964111328,14076.342955891052,112.61074364712842,crisis,PANIC_BUY_DD-60.3%
2008-11-24,SBUX,BUY,31764.808654822365,3.135072708129883,99584.98469270149,796.679877541612,crisis,REBALANCE_TOP10
2008-11-24,SBUX,BUY,6352.961730964473,3.135072708129883,19916.9969385403,159.33597550832238,crisis,PANIC_BUY_DD-47.6%
2008-11-25,ADI,BUY,8855.019910896306,11.198151588439941,99159.85528087078,793.2788422469662,crisis,REBALANCE_TOP10
2008-11-25,BEN,BUY,9675.013495580768,10.249066352844238,99159.85528087078,793.2788422469662,crisis,REBALANCE_TOP10
2008-11-25,COR,BUY,9846.354265512828,10.070717811584473,99159.85528087078,793.2788422469662,crisis,REBALANCE_TOP10
2008-11-25,ADI,BUY,2244.8852718190956,11.198151588439941,25138.565572486437,201.1085245798915,crisis,PANIC_BUY_DD-39.9%
2008-11-25,BEN,BUY,1839.5747993311254,10.249066352844238,18853.92417936483,150.83139343491862,crisis,PANIC_BUY_DD-46.0%
2008-11-25,COR,BUY,1248.101974596549,10.070717811584473,12569.282786243219,100.55426228994575,crisis,PANIC_BUY_DD-28.2%
2008-11-26,HOLX,BUY,396.020565786333,14.609999656677246,5785.860330175454,46.28688264140363,crisis,REBALANCE_TOP10
2009-01-29,MDLZ,SELL,4399.637145380204,12.736318588256836,56035.18035629114,280.1759017814557,bear,HALF_LIQ_RANK_16
2009-01-29,TEL,SELL,5943.486015821593,10.532384872436523,62599.082202577374,312.9954110128869,bear,HALF_LIQ_RANK_17
2009-01-29,HOLX,BUY,8213.36837635686,11.789999961853027,96835.61284393225,387.342451375729,bear,REBALANCE_TOP10
2009-01-29,ADBE,BUY,1034.1743620497887,20.049999237060547,20735.19517008584,82.94078068034337,bear,REBALANCE_TOP10
2009-02-06,MDLZ,SELL,4399.637145380204,11.457463264465332,50408.680970170804,252.04340485085402,bear,FULL_LIQ_RANK_19
2009-02-06,TEL,SELL,5943.486015821593,10.539521217346191,62641.496968752064,313.2074848437603,bear,FULL_LIQ_RANK_20
2009-02-06,COR,SELL,5547.228120054689,13.107484817504883,72710.20836285298,363.5510418142649,bear,HALF_LIQ_RANK_18
2009-02-06,ADBE,BUY,3925.8862817829363,21.700000762939453,85191.73530990325,340.766941239613,bear,REBALANCE_TOP10
2009-02-06,BIIB,BUY,1884.5935424702366,52.47999954223633,98903.46824613956,395.6138729845582,bear,REBALANCE_TOP10
2009-02-09,COR,SELL,5547.228120054689,13.080434799194336,72560.15574063272,362.8007787031636,bear,FULL_LIQ_RANK_19
2009-02-09,AMZN,BUY,21558.90153093061,3.3355000019073486,71909.71609753939,287.63886439015755,bear,REBALANCE_TOP10
2009-02-19,PG,SELL,1459.3546300621424,31.14946746826172,45458.11957377782,227.2905978688891,bear,HALF_LIQ_RANK_16
2009-02-19,AMZN,BUY,9835.23666876333,3.0975000858306885,30464.64642565955,121.85858570263821,bear,REBALANCE_TOP10
2009-02-19,BA,BUY,512.426605756173,28.46452522277832,14585.980044369267,58.343920177477074,bear,REBALANCE_TOP10
2009-02-20,PG,SELL,1459.3546300621424,30.61334228515625,44675.72280551994,223.3786140275997,bear,FULL_LIQ_RANK_20
2009-02-20,BA,BUY,1609.4298348201069,27.5098934173584,44275.24321861787,177.1009728744715,bear,REBALANCE_TOP10
2009-02-24,SBUX,SELL,19058.88519289342,3.535768747329712,67387.81062397757,336.93905311988783,bear,HALF_LIQ_RANK_16
2009-02-24,BA,BUY,1438.1633042573387,26.850744247436523,38615.75506866204,154.46302027464816,bear,REBALANCE_TOP10
2009-02-24,TROW,BUY,1973.8245708409372,14.27076244354248,28167.9815556982,112.6719262227928,bear,REBALANCE_TOP10
2009-02-25,GPC,SELL,3714.3845139669543,17.364622116088867,64498.88347888857,322.49441739444285,bear,HALF_LIQ_RANK_16
2009-02-25,SBUX,SELL,9529.44259644671,3.4949569702148438,33304.99182471367,166.52495912356832,bear,HALF_LIQ_RANK_18
2009-02-25,FSLR,BUY,879.032608221144,107.6500015258789,94627.86161630346,378.51144646521385,bear,REBALANCE_TOP10
2009-02-25,TROW,BUY,165.75992748525198,13.871179580688477,2299.2857214298297,9.19714288571932,bear,REBALANCE_TOP10
2009-02-26,GPC,SELL,3714.3845139669543,16.74700164794922,62204.80357652164,311.02401788260823,bear,FULL_LIQ_RANK_20
2009-02-26,SBUX,SELL,9529.44259644671,3.3465511798858643,31890.76736479335,159.45383682396675,bear,FULL_LIQ_RANK_22
2009-02-26,CF,BUY,10485.583346809655,8.710731506347656,91337.10122148917,365.34840488595665,bear,REBALANCE_TOP10
2009-02-26,CLF,BUY,142.99596086664846,13.391871452331543,1914.9835261287878,7.659934104515152,bear,REBALANCE_TOP10
2009-03-02,BEN,SELL,11514.588294911893,7.6220703125,87765.00160330793,438.82500801653964,bear,FULL_LIQ_RANK_19
2009-03-02,BA,SELL,1780.0098724168092,22.357946395874023,39797.36531162158,198.9868265581079,bear,HALF_LIQ_RANK_16
2009-03-02,TROW,SELL,1069.7922491630945,12.381305694580078,13245.424866580652,66.22712433290326,bear,HALF_LIQ_RANK_17
2009-03-02,CME,BUY,4698.061204490827,18.11729621887207,85116.16649615121,340.4646659846049,bear,REBALANCE_TOP10
2009-03-02,CLF,BUY,5462.013090558609,9.965081214904785,54429.40404428963,217.71761617715853,bear,REBALANCE_TOP10
2009-03-03,BA,SELL,890.0049362084046,22.244298934936523,19797.535854588863,98.98767927294432,bear,HALF_LIQ_RANK_16
2009-03-03,TROW,SELL,534.8961245815473,12.210060119628906,6531.113838897206,32.65556919448603,bear,HALF_LIQ_RANK_17
2009-03-03,CLF,BUY,2468.37268621094,10.570784568786621,26092.63590141299,104.37054360565196,bear,REBALANCE_TOP10
2009-03-09,ADI,SELL,5549.952591357701,12.206389427185059,67744.88263252696,338.7244131626348,bear,HALF_LIQ_RANK_16
2009-03-09,BA,SELL,445.0024681042023,23.48682403564453,10451.694663790917,52.258473318954586,bear,HALF_LIQ_RANK_17
2009-03-09,TROW,SELL,267.44806229077363,12.084481239318848,3231.9710912450323,16.159855456225163,bear,HALF_LIQ_RANK_18
2009-03-09,NOV,BUY,4421.461865945335,18.251567840576172,80698.61120082179,322.79444480328715,bear,REBALANCE_TOP10
